iso_code,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Year,Mu
MCO,2020-11,529.0666666666667,8.333333333333334,8.9238,2.466666666666667,0.03333333333333333,0.03336666666666667,13387.314433333331,210.86386666666672,225.80483333333333,62.41553333333335,0.8434666666666666,0.8435000000000002,0.9796666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.84999999999998,39520.0,19347.5,,,,,,,5.459999999999999,,,,13.800000000000008,86.75,,15.3,3.36,-15.15,387.145749,,,,,,,,,,,,,,,,,
MCO,2020-12,711.483870967742,8.580645161290322,7.055354838709678,3.0,0.0,0.0,18003.134451612903,217.12170967741937,178.5247419354838,75.91100000000004,0.0,0.0,1.2219354838709675,,,,,,,,,,,,,,,,,0.0,,,,,126.0,0.0,,,,3188.0,,,51.84999999999997,39520.0,19347.5,,,,,,,5.46,,,,13.800000000000008,86.75,,25.6,5.17,25.31,647.7732794,,,126.0,3188.0,,,,,,,,,,,,,
MCO,2021-01,1184.6774193548388,19.806451612903224,19.65438709677419,6.903225806451613,0.3225806451612903,0.24435483870967734,29976.655451612904,501.1753548387099,497.3273548387096,174.67696774193553,8.162483870967742,6.1802258064516105,1.1574193548387095,,,,,,,,,,,,,,,,,2400.0,,,,,180.19354838709677,6.07,,,,4559.354838709677,,,51.84999999999997,39520.0,19347.5,,,,,,,5.46,,,,13.800000000000008,86.75,,33.5,6.14,15.77,847.6720648,,,180.19354838709677,4559.354838709677,,,,,,,,,,,,,
MCO,2021-02,1767.5714285714287,16.678571428571427,17.77542857142857,20.607142857142858,0.39285714285714285,0.4491428571428573,44725.99764285714,422.0285714285715,449.7851785714286,521.4358214285717,9.940785714285713,11.360928571428575,0.9210714285714285,,,,,,,,,,,,,,,,,,,,,,294.0,,,,,7439.0,,,54.63000000000003,39520.0,19347.5,,,,,,,5.459999999999999,,,,13.800000000000008,86.75,,60.2,10.22,61.66,1523.279352,,,294.0,7439.0,,,,,,,,,,,,,
MCO,2021-03,2127.451612903226,10.709677419354838,10.760354838709679,26.806451612903224,0.12903225806451613,0.15683870967741928,53832.27767741936,270.9939032258065,272.27651612903225,678.3008064516132,3.265032258064516,3.964741935483869,0.9525806451612903,,,,,,,,,,,,,,,,,16846.5,9099.5,7747.0,,,196.5483870967742,42.625,23.025,19.6,,4973.387096774193,104.66666666666667,0.2647037037037038,59.73709677419356,39520.0,19347.5,,,,,,,5.46,,,,13.800000000000008,86.75,,84.3,13.37,57.52,2133.097166,104.66666666666667,0.2647037037037038,196.5483870967742,4973.387096774193,,,,,,,,,,,,,
MCO,2021-04,2389.6,5.533333333333333,6.0572,30.733333333333334,0.13333333333333333,0.12869999999999995,60465.5871,140.0135666666667,153.2678333333333,777.6654000000002,3.3738666666666663,3.2534666666666654,0.8153333333333332,,,,,,,,,,,,,,,,,23239.25,12464.0,10775.25,,,175.43333333333334,58.805,31.5375,27.265,,4439.1,70.83333333333333,0.1791,54.63000000000004,39520.0,19347.5,,,,,,,5.459999999999999,,,,13.800000000000008,86.75,,84.4,12.59,0.25,2135.62753,70.83333333333333,0.1791,175.43333333333334,4439.1,,,,,,,,,,,,,
MCO,2021-05,2488.967741935484,1.6129032258064515,1.96783870967742,32.0,0.0,0.004612903225806452,62979.953032258054,40.81238709677421,49.791000000000004,809.7170000000003,0.0,0.11661290322580646,0.7351612903225807,,,,,,,,,,,,,,,,,28209.666666666668,15374.666666666666,12835.0,,,174.7741935483871,71.38,38.906666666666666,32.47666666666667,,4422.4838709677415,115.0,0.2908709677419355,54.630000000000045,39520.0,19347.5,,,,,,,5.46,,,,13.800000000000008,86.75,,105.1,14.85,55.5,2659.412955,115.0,0.2908709677419355,174.7741935483871,4422.4838709677415,,,,,,,,,,,,,
MCO,2021-06,2537.0,2.433333333333333,2.2809000000000004,33.0,0.03333333333333333,0.03336666666666667,64195.34396666665,61.57230000000002,57.71650000000001,835.0200000000003,0.8434666666666666,0.8435000000000002,1.2436666666666665,,,,,,,,,,,,,,,,,34116.0,18794.0,15322.0,,,227.7,86.32333333333334,47.556666666666665,38.77,,5761.5,109.26666666666667,0.27640000000000003,51.05166666666666,39520.0,19347.5,,,,,,,5.459999999999999,,,,13.800000000000008,86.75,,96.2,12.93,-24.79,2434.2105260000008,109.26666666666667,0.27640000000000003,227.7,5761.5,,,,,,,,,,,,,
MCO,2021-07,2691.3870967741937,10.064516129032258,8.488451612903226,33.0,0.0,0.0,68101.90025806453,254.66893548387102,214.7895161290323,835.0200000000003,0.0,0.0,1.3719354838709674,,,,,,,,,,,,,,,,,39989.4,21458.6,18530.8,,,164.5483870967742,101.186,54.298,46.89,,4163.709677419355,100.41935483870968,0.25406451612903225,37.75354838709677,39520.0,19347.5,,,,,,,5.46,,,,13.800000000000008,86.75,,95.1,12.13,-2.74,2406.376518,100.41935483870968,0.25406451612903225,164.5483870967742,4163.709677419355,,,,,,,,,,,,,
MCO,2021-08,3067.7096774193546,10.064516129032258,11.165935483870966,33.0,0.0,0.0,77624.23287096775,254.6690322580646,282.5379677419355,835.0200000000003,0.0,0.0,0.9387096774193547,,,,,,,,,,,,,,,,,46085.666666666664,25246.333333333332,20839.333333333332,,,188.51612903225808,116.61333333333334,63.883333333333326,52.73333333333333,,4770.1612903225805,92.7741935483871,0.2347741935483871,37.039999999999985,39520.0,19347.5,,,,,,,5.46,,,,13.800000000000008,86.75,,104.0,12.68,24.65,2631.578947,92.7741935483871,0.2347741935483871,188.51612903225808,4770.1612903225805,,,,,,,,,,,,,
