,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients_per_million,hosp_patients_per_million,total_tests_per_thousand,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,daily_people_vaccinated_per_hundred,daily_vaccinations_per_million,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Mu,Omicron,date,iso_code,month_yr
1753,2864.605,2.76,23.698,0.054000000000000006,0.93,0.0,0.0,32.172,0.087,0.032,31.6,27.191900239895702,13.88895828925093,12.599318034020536,223.0,0.022000000000000002,47.22,31732128.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,0.9,64.07,0.611,0.022000000000000002,223.0,3.0,0.0,0.0,1.0,0.0,7.0,0.0,24.0,11.0,0.0,0.0,0.0,2021-04-05,GHA,04-2021
1754,22864.112,128.128,1878.442,3.741,1.11,22.128960910256325,119.48892081454869,66.26100000000001,0.359,0.396,2.5,55.37,39.03,21.01,4977.0,0.345,67.13,130262220.0,66.444,29.3,6.857,4.3210000000000015,17336.468999999994,2.5,152.783,13.06,6.9,21.4,1.38,75.05,0.779,0.345,4977.0,0.0,1.0,96.0,0.0,0.0,0.0,2262.0,17.0,63.0,13.0,43.0,0.0,2021-08-09,MEX,08-2021
1755,37252.692,130.013,932.7280000000001,4.257,0.89,53.169,392.22464243680656,132.85940203191444,1.281,0.102,9.9,2.53,2.4,0.13,1863.0,0.16899999999999998,76.85,19127772.0,85.12899999999998,43.0,17.85,11.69,23313.199,5.7,370.94599999999997,9.74,22.9,37.1,6.892,76.05,0.828,0.16899999999999998,1863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,71.0,0.0,0.0,0.0,2021-01-25,ROU,01-2021
1756,24728.131,8.129,332.89,0.253,0.91,0.0,265.2343596916453,448.301,0.8809999999999999,0.009000000000000001,108.4,80.88,54.11,26.77,3972.0,0.115,39.35,1393409033.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,0.115,3972.0,0.0,0.0,0.0,0.0,0.0,1.0,362.0,0.0,0.0,0.0,0.0,0.0,2021-11-15,IND,11-2021
1757,411.92199999999997,16.296,5.5920000000000005,0.222,1.21,0.0,109.66684841781989,2.471,0.078,0.209,4.8,0.0,0.0,0.0,0.0,0.0,62.96,166303494.0,1265.036,27.5,5.098,3.262,3523.9840000000013,14.8,298.003,8.38,1.0,44.7,0.8,72.59,0.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,2020-06-08,BGD,06-2020
1758,61402.486,164.862,1104.8139999999999,1.1640000000000001,0.88,29.029,143.996,480.468,3.114,0.057999999999999996,17.2,4.89,4.21,0.63,1679.0,0.10800000000000001,60.19,8715494.0,214.243,43.1,18.436,12.644,57410.166,31.98987734075581,99.73899999999999,5.59,22.6,28.9,4.53,83.78,0.955,0.10800000000000001,1679.0,41.0,3.0,10.0,0.0,0.0,2.0,0.0,1191.0,1806.0,0.0,0.0,0.0,2021-02-08,CHE,02-2021
1759,3217.6540000000005,14.793,25.936,0.05,1.26,0.0,0.0,44.841,0.17300000000000001,0.085,11.7,33.87184670630032,18.76379534898701,15.763603849807486,176.0,0.0,38.89,31732128.0,126.719,21.1,3.385,1.9480000000000002,4227.63,12.0,298.245,4.97,0.3,7.7,0.9,64.07,0.611,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,6.0,0.0,0.0,0.0,2021-07-26,GHA,07-2021
1760,73123.107,232.394,1199.932,0.852,1.09,28.34,123.11399999999999,714.58,3.015,0.084,11.9,24.97,15.65,9.07,4940.0,0.35,50.93,8715494.0,214.243,43.1,18.436,12.644,57410.166,31.806105321354153,99.73899999999999,5.59,22.6,28.9,4.53,83.78,0.955,0.35,4940.0,43.0,0.0,8.0,3.0,2.0,6.0,8.0,2984.0,146.0,0.0,0.0,0.0,2021-04-19,CHE,04-2021
1761,87645.668,173.912,1581.9289999999999,4.779,0.89,29.406999999999996,113.20299999999999,1070.55,3.8689999999999998,0.045,22.2,31.99,20.49,11.05,7266.0,0.461,64.35,332915074.0,35.60800000000001,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,2.77,78.86,0.9259999999999999,0.461,7266.0,172.0,7546.0,134.0,3.0,2121.0,111.0,2.0,8382.0,20912.0,20.0,0.0,0.0,2021-03-08,USA,03-2021
1762,21757.356,34.759,285.37,0.855,0.79,12.211905913751341,272.01839585293305,291.638,1.432,0.024,41.2,23.07,19.06,4.01,3907.0,0.336,81.94,1393409033.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,0.336,3907.0,6.0,0.0,0.0,14.0,0.0,1.0,3145.0,7.0,103.0,0.0,0.0,0.0,2021-06-28,IND,06-2021
