,iso_code,date,continent,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,daily_vaccinations_raw,Beta,Epsilon,Gamma,Kappa,Iota,Eta,Delta,Alpha,non_who,Lambda,Year,Mu
17991,BTN,2021-11-20,Asia,Bhutan,2632.0,0.0,1.0,3.0,0.0,0.0,3374.792,0.0,1.282,3.847,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779900.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7,71.78,0.654,,,,,,,,,,,,,,,,,,,,,
18592,BWA,2021-11-20,Africa,Botswana,194445.0,0.0,106.286,2416.0,0.0,0.714,81112.029,0.0,44.337,1007.826,0.0,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2397240.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,,,,,,,,,,,,,,,,,,,,,
19208,CAF,2021-11-20,Africa,Central African Republic,11666.0,0.0,0.0,101.0,0.0,0.0,2371.144,0.0,0.0,20.529,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,,,,,,,,,,,,,,,,,,,,,
19873,CAN,2021-11-20,North America,Canada,1772484.0,1709.0,2487.143,29543.0,10.0,23.857,46561.103,44.893,65.334,776.06,0.263,0.627,,,,,,,,,,,,,,,,,,,59935961.0,30142460.0,28833278.0,960223.0,17844.0,60493.0,157.44,79.18,75.74,2.52,1589.0,14302.0,0.038,,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,,,,,14302.0,0.038,60493.0,1589.0,17844.0,,,,,,,,,,,,
20508,CHE,2021-11-20,Europe,Switzerland,941218.0,0.0,4597.143,11382.0,5.0,8.143,107993.649,0.0,527.468,1305.95,0.574,0.934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,,,,,,,,,,,,,,,,,,,,,
21145,CHL,2021-11-20,South America,Chile,1740496.0,2611.0,2395.429,38094.0,15.0,20.429,90592.505,135.902,124.682,1982.786,0.781,1.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,,,,,,,,,,,,,,,,,,
21814,CHN,2021-11-20,Asia,China,98544.0,17.0,29.143,4636.0,0.0,0.0,68.234,0.012,0.02,3.21,0.0,0.0,,,,,,,,,,,,,,,,,,,2430743000.0,,,,7835000.0,6944286.0,168.31,,,,4808.0,,,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,,,,6944286.0,4808.0,7835000.0,,,,,,,,,,,,
22434,CIV,2021-11-20,Africa,Cote d'Ivoire,61577.0,9.0,10.571,702.0,0.0,0.0,2276.109,0.333,0.391,25.948,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,,,,,,,,,,,,,,,,,,
23059,CMR,2021-11-20,Africa,Cameroon,106190.0,0.0,0.0,1770.0,0.0,0.0,3900.565,0.0,0.0,65.016,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,,,,,,,,,,,,,,,,,,
23679,COD,2021-11-20,Africa,Democratic Republic of Congo,57880.0,0.0,21.571,1104.0,0.0,0.714,626.556,0.0,0.234,11.951,0.0,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,,,,,,,,,,,,,,,,,,
24295,COG,2021-11-20,Africa,Congo,18717.0,0.0,80.571,339.0,0.0,4.286,3308.634,0.0,14.243,59.926,0.0,0.758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,,,,,,,,,,,,,,,,,,
24463,COK,2021-11-08,Oceania,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24326.0,12600.0,11726.0,,,40.0,138.44,71.7,66.73,,2276.0,14.0,0.08,,17572.0,,,,,,,,,,,,,76.25,,,,,,14.0,0.08,40.0,2276.0,,,,,,,,,,,,,
